Juego ,Temp ,Agit. ,Indole (µL) ,NaCl (mL) ,NH4Cl (mL) ,Na2HPO4 (mL) ,KH2PO4 (mL) ,MgSO4 (µL) ,CaCl2 (µL) ,Dummy (mL) ,Dummy (mL) 
1 ,+ ,+ ,- ,+ ,+ ,+ ,- ,- ,- ,+ ,- 
2 ,- ,+ ,+ ,- ,+ ,+ ,+ ,- ,- ,- ,+ 
3 ,+ ,- ,+ ,+ ,- ,+ ,+ ,+ ,- ,- ,- 
4 ,- ,+ ,- ,+ ,+ ,- ,+ ,+ ,+ ,+ ,+ 
5 ,- ,- ,+ ,- ,+ ,+ ,- ,+ ,+ ,+ ,- 
6 ,- ,- ,- ,+ ,- ,+ ,+ ,- ,+ ,+ ,+ 
7 ,+ ,- ,- ,- ,+ ,- ,+ ,+ ,- ,+ ,+ 
8 ,+ ,+ ,- ,- ,- ,+ ,- ,+ ,+ ,- ,+ 
9 ,+ ,+ ,+ ,- ,- ,- ,+ ,- ,+ ,+ ,- 
10 ,- ,+ ,+ ,+ ,- ,- ,- ,+ ,- ,- ,+ 
11 ,+ ,- ,+ ,+ ,+ ,- ,- ,- ,+ ,- ,+ 
12 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
